לְהִשְׁתַּקֵּף	lehiʃtaˈkef
שַׁלוּחַ	ʃaˈluax
תַו	ˈtav
לנמק	lenaˈmek
תִיוּוּי	tiˈvuj
לֵאֵזוֹל	leʔeˈzol
חַם	ˈxam
תְפִיסַה	tfiˈsa
דִּבֵּר	diˈber
תְהוּדַה	tehuˈda
אַךְ	ˈax
מַקַף	maˈkaf
לִשְׂרוֹךְ	lisˈrox
למסחר	lemasˈxer
זַמִיר	zaˈmir
תַבְרוּאַה	tavruˈʔa
הֵקְדֵם	hekˈdem
כלבה	kalˈba
מִבְצָר	mivtˈsar
נִיקַיוֹן	nikaˈjon
מִתְכַּוֵּון	mitkaˈven
לְהִיווַּתֵר	lehivaˈter
חינמי	xinaˈmi
פירזול	pirˈzul
להילבש	lehilaˈveʃ
דוברת	doˈveret
מִלְחִייָּה	milxiˈja
מַסְגֵר	masˈger
לכבוש	lixˈboʃ
מָלוֹן	maˈlon
פְּגִימַה	pgiˈma
קְבוּצָה	kvutˈsa
לגסוס	ligˈsos
כרוב	kˈruv
וִיטָמִין	vitaˈmin
סַדִיר	saˈdir
לְהִתְפַּלֵּשׁ	lehitpaˈleʃ
לְהִתְעַטֵּף	lehitʔaˈtef
תְּמִיסָּה	tmiˈsa
להזדעק	lehizdaˈʔek
לְהַכּוֹת	lehaˈkot
צַווַארוֹן	tsavaˈron
שְׁמִינִי	ʃmiˈni
ציתות	tsiˈtut
נִיזּוּם	niˈzum
עיקול	iˈkul
דּוּמְדְּמָנִית	dumdemaˈnit
בַּרַד	baˈrad
תִּקְנִי	tikˈni
שבע	ˈʃeva
חלום	xaˈlom
לְהִתְבַּזוֹת	lehitbaˈzot
לטרפד	letarˈped
לסיח	laˈsiax
מתאר	mitˈʔar
מַעַרַבִי	maʔaraˈvi
חַסְכַן	xasˈxan
לִסְמוֹר	lisˈmor
ממתק	mamˈtak
פּוֹשֵׁר	poˈʃer
הַרֵה	haˈre
הַדַחַה	hadaˈxa
רוֹתֵחַ	roˈteax
פְּעוּלַה	peʔuˈla
להתכנס	lehitkaˈnes
הסכמה	haskaˈma
התפרסות	hitparˈsut
טוזיג	tuˈzig
כִּיבּוּשׁ	kiˈbuʃ
מֵעַתַה	meʔaˈta
לְתַכְנֵת	letaxˈnet
לְבוֹנֵן	levoˈnen
לקוי	laˈkuj
פשתן	piʃˈtan
לִבְהוֹל	livˈhol
אוֹרֵךְ	ˈorex
קדיחה	kdiˈxa
לְמַצְמֵץ	lematsˈmets
בֵּהַלַה	behaˈla
מחזאי	maxaˈzaj
מְסוּגַל	mesuˈgal
לְהַאַבִיס	lehaʔaˈvis
להילמד	lehilaˈmed
לְהִזְדַחֵל	lehizdaˈxel
לַמוּט	laˈmut
לְמַנֵן	lemaˈnen
לְהַדְמוֹת	lehadˈmot
שֵׁן	ˈʃen
שֶׁשַּׂר	ʃeˈʃar
אַז	ˈaz
פְּרִיסָה	priˈsa
לְהַסְכִּים	lehasˈkim
לְנַפֵּחַ	lenaˈpeax
יממה	jemaˈma
לִגְדוֹר	ligˈdor
הבריאות	habriˈʔut
לרמוז	lirˈmoz
קִידוֹמֵת	kiˈdomet
להכווין	lehaxˈvin
קַדַרוּת	kadaˈrut
דַּרְכּוֹן	darˈkon
אֵיתַן	ejˈtan
פסימיות	peˈsimijut
לערב	leʔaˈrev
פִּיסוּל	piˈsul
לדגור	lidˈgor
לַחֲזוֹק	laxaˈzok
לְעוֹפֵף	leʔoˈfef
שמיים	ʃaˈmajim
לְהִיגָּאֵל	lehigaˈʔel
לְהַשְׁבִּיר	lehaʃˈbir
לגזול	ligˈzol
לִלְעוֹג	lilˈʔog
מַרְקֶר	ˈmarker
לְהִתְגַלֵשׁ	lehitgaˈleʃ
להקליט	lehakˈlit
סְמִיכָה	smiˈxa
לַחְמוֹק	laxˈmok
לְעַקֵל	leʔaˈkel
הַרְפַּתְקָה	harpatˈka
בֵּדוּאִי	ˈbeduʔi
מְדִינִי	mediˈni
תוּת	ˈtut
שגור	ʃaˈgur
סִיבַּה	siˈba
כַּדוּר	kaˈdur
גִזְרַה	gizˈra
אַשְׁרַאי	aʃˈraj
מִתְחַרֵה	mitxaˈre
קַבָּלָה	kabaˈla
כַּלְכַּלִי	kalkaˈli
להשקיף	lehaʃˈkif
מְעִילַה	meʔiˈla
עַרוּבַּה	aruˈba
לנשור	linˈʃor
ערכה	erˈka
אוּלַי	uˈlaj
לְבַצֵּעַ	levaˈtsea
ריבית	riˈbit
לְהַחֲנִיף	lehaxaˈnif
הרשעה	harʃaˈʔa
תַהַלוּכַה	tahaluˈxa
לסקל	lesaˈkel
לָקוֹחַ	laˈkoax
להוביש	lehoˈviʃ
לְהָסִיחַ	lehaˈsiax
כַּיּוֹם	kaˈjom
לחוס	laˈxus
לרסס	leraˈses
מִפְלַגַה	miflaˈga
שְׁטַר	ʃˈtar
חַנְפָן	xanˈfan
לְהַרְשׁוֹת	leharˈʃot
סימון	siˈmun
תוֹרַן	toˈran
קֵשֵׁב	ˈkeʃev
אֵמֵשׁ	ˈemeʃ
אַחֲרִית	axaˈrit
לִבְדּוֹא	livˈdo
שֵׂכֵל	ˈsexel
מַדוּעַ	maˈdua
תַשְׁנִית	taʃˈnit
להוכיח	lehoˈxiax
מַקָּק	maˈkak
יקירה	jakiˈra
מאוורר	meʔavˈrer
לָנוּ	ˈlanu
להבדיל	lehavˈdil
לִגְעוֹשׁ	ligˈʔoʃ
לנעוץ	linˈʔots
בכייה	bxiˈja
אַרְמוֹן	arˈmon
לרקוב	lirˈkov
יוֹגַה	ˈjoga
לגבס	legaˈbes
רוֹכְסַן	roxˈsan
לְהִזְדַקֵף	lehizdaˈkef
אזכרה	azkaˈra
לְהֵיחָטֵב	lehexaˈtev
מִבְצַע	mivtˈsa
לְהַחְשִׁיךְ	lehaxˈʃix
לְהִשְׁתַחֵל	lehiʃtaˈxel
אשכרה	ˈaʃkara
תִיעוּדִי	tiʔuˈdi
לְכַווֵּץ	lexaˈvets
כנסייה	knesiˈja
קִנְייַן	kinˈjan
לאבות	leʔeˈvot
צפוף	tsaˈfuf
פעמיים	paʔaˈmajim
לִסְפּוֹג	lisˈpog
לְעַמֵם	leʔaˈmem
אֲגִידָה	agiˈda
שְׁטָר	ʃˈtar
לגבוה	ligˈboa
תוקפן	tokˈfan
שַׂרִים	ʃaˈrim
לַעַקוֹב	laʔaˈkov
לְהִזְדַּווֵּג	lehizdaˈveg
אחרית	axaˈrit
פַּחְמֵימָה	paxmeˈma
להתפצפץ	lehitpatsˈpets
זִיכּוּי	ziˈkuj
תדירות	tdiˈrut
חרק	ˈxerek
לְשַׁעְתֵּק	leʃaʔaˈtek
תלול	taˈlul
מְזוּכָּךְ	mezuˈkax
לֶאֱרוֹת	leʔeˈrot
לְחַבֵּל	lexaˈbel
תְּגוּבָה	tguˈva
רְאִייָּה	reʔiˈja
דיוק	diˈjuk
תמנון	tmaˈnun
גַנוּב	gaˈnuv
עצירות	atsiˈrut
הַקְפָּאָה	hakpaˈʔa
הכי	haˈxi
משגב	misˈgav
מוּאַר	muˈʔar
למוט	laˈmut
מוּעַם	muˈʔam
מְדִינָה	mediˈna
אַדִּיר	aˈdir
אכלן	axˈlan
יְצִירַת	jetsiˈrat
תְּנוּחָה	tnuˈxa
שׁוּרַה	ʃuˈra
הוֹפָעָה	hofaˈʔa
עֵמְדַה	emˈda
מַעֲרוֹךְ	maʔaˈrox
אָדוּק	aˈduk
מכינה	mexiˈna
להרוס	lahaˈros
בַּשְׂרָנִי	basraˈni
הנץ	haˈnets
להיחבש	lehexaˈveʃ
להתברך	lehitbaˈrex
לִסְרוֹק	lisˈrok
לְהִישַׁאֵל	lehiʃaˈʔel
לְהֵירָגֵז	leheraˈgez
לְצַייֵת	letsaˈjet
שינון	ʃiˈnun
דּוֹחֶה	doˈxe
הַתְרָעָה	hatraˈʔa
צדף	tˈsedef
רִיקּוּד	riˈkud
הצדעה	hatsdaˈʔa
לְקַטֵר	lekaˈter
היענות	heʔaˈnut
חיות	xiˈjut
איבר	eiˈvar
אהבה	ahaˈva
לַעַרוֹף	laʔaˈrof
דישון	diˈʃun
לְהִשְׂתַרֵג	lehistaˈreg
להשתלם	lehiʃtaˈlem
להחשיד	lehaxˈʃid
להרזות	leharˈzot
לחטוב	laxˈtov
עששית	aʃaˈʃit
לרכוש	lirˈkoʃ
תְּפִיפָה	tfiˈfa
אֱווִיל	eˈvil
לפשק	lefaˈsek
לְהִתְבָּאֵר	lehitbaˈʔer
פְּקַק	pˈkak
כרייה	kriˈja
מַעַנַק	maʔaˈnak
מבחן	mivˈxan
לְהִתְלַכֵּד	lehitlaˈked
שפיפה	ʃfiˈfa
נָחָשׁ	naˈxaʃ
לרהוט	lirˈhot
עַרוּם	aˈrum
סַדִין	saˈdin
שַׁתְייַן	ʃatˈjan
לנצוץ	lintˈsots
תּוֹם	ˈtom
להצטלל	lehitstaˈlel
אִישּׁוּר	iˈʃur
לְהִשְׁתַלֵם	lehiʃtaˈlem
מַעַן	ˈmaʔan
מיונז	majoˈnez
קְשִׁירוּת	kʃiˈrut
מָשׁוּל	maˈʃul
לְצַדֵד	letsaˈded
לְנַעְנֵעַ	lenaʔaˈnea
תמיסה	tmiˈsa
הִימַשְׁכוּת	himaʃˈxut
בַּהִיר	baˈhir
להיקטל	lehikaˈtel
לִמְסוֹר	limˈsor
לסוב	laˈsov
לַחוּס	laˈxus
שַׁגוּי	ʃaˈguj
הִצְטַלְּבוּת	hitstalˈvut
לְהוֹפִיעַ	lehoˈfia
מצגת	matˈseget
שֵׁרוֹצֵה	ʃeroˈtse
שֶׁכֶם	ˈʃexem
להיחנך	lehexaˈnex
למפות	lemaˈpot
רַכֵּבֵת	raˈkevet
תווית	taˈvit
פשוט	paˈʃut
גְמִירַה	gmiˈra
לְהִתְחַזוֹת	lehitxaˈzot
מַגֵן	maˈgen
הִתְפַּייְּסוּת	hitpajˈsut
לְהַלָּן	lehaˈlan
יֵרֵק	ˈjerek
ממש	maˈmaʃ
לְהִשְׁתוֹקֵק	lehiʃtoˈkek
דודא	duˈda
הַחֻוקַה	haxuˈka
תֵקַע	ˈteka
לְהִתְפַּלֵּל	lehitpaˈlel
שאנן	ʃaʔaˈnan
מְנִיעַה	meniˈʔa
תְשׂוּאַה	tsuˈʔa
עֵשֵׂב	ˈesev
מיסחור	misˈxur
מְלָפְפוֹן	melafeˈfon
גּוֹדֶל	ˈgodel
לְהִיבָּרֵא	lehibaˈre
להרכין	leharˈkin
מִיץ	ˈmits
אלמוג	alˈmog
מִתְווֵה	mitˈve
רָן	ˈran
רֶגֶל	ˈregel
להתברר	lehitbaˈrer
לְהַקְנוֹת	lehakˈnot
להתחפף	lehitxaˈfef
מָצוּי	matˈsuj
מַתַן	maˈtan
לִסְטוֹר	lisˈtor
גַעְגוּעַ	gaʔaˈgua
עומק	ˈomek
לְהִשְׁתַּקֵּעַ	lehiʃtaˈkea
לְהַשְׁחִים	lehaʃˈxim
קְלָלָה	klaˈla
קציצה	ktsitˈsa
בטרם	beˈterem
אוֹבְּסֶסִיבִי	obseˈsivi
בְּכִייָּה	bxiˈja
חרדה	xaraˈda
להתגאות	lehitgaˈʔot
פִּזְמוֹן	pizˈmon
לְהִידַלְדֵל	lehidalˈdel
להתחבא	lehitxaˈbe
לְייַבֵּשׁ	lejaˈbeʃ
תַזְרִים	tazˈrim
מְיוֹאָשׁ	mejoˈʔaʃ
לְמַקֵשׁ	lemaˈkeʃ
נַבִיא	naˈvi
שְׂרִיטָה	sriˈta
אָמַרְתָּ	ʔaˈmart
לְהֵיאָלֵם	leheʔaˈlem
חוּצְפָּה	xutsˈpa
לגבל	legaˈbel
לְהַסּוֹת	lehaˈsot
ערום	aˈrum
נטוע	naˈtua
צֵדֵק	tˈsedek
בִּמְהִירוּת	bimhiˈrut
פְּרוֹזְדוֹר	prozˈdor
גָּרוּשׁ	gaˈruʃ
ההחלטה	hahaxlaˈta
פִּסְקַה	pisˈka
בטחון	bitaˈxon
לְלַבּוֹת	lelaˈbot
לובן	ˈloven
כלוב	kˈluv
אַחוֹרַייִם	axoˈrajim
עִיצּוּב	itˈsuv
זַעִיר	zaˈʔir
לְהִשְׁתַלְשֵׁל	lehiʃtalˈʃel
לְהִימּוֹג	lehiˈmog
פֵּירוּט	peˈrut
יַעֶפֶת	jaˈʔefet
לְהַעַבִיד	lehaʔaˈvid
לְהֵיאַטֵם	leheʔaˈtem
פָּצוּעַ	patˈsua
תַעְנִית	taʔaˈnit
רִישּׁוּם	riˈʃum
יָעִיל	jaˈʔil
שַׁנִי	ʃaˈni
תְרִיס	tˈris
שַׁייָּט	ʃaˈjat
לְמַגְנֵט	lemagˈnet
מוצנע	mutsˈna
הַשְׁמָעָה	haʃmaˈʔa
תִירוֹשׁ	tiˈroʃ
לְהִזְדַּנֵּב	lehizdaˈnev
למרר	lemaˈrer
גוּזִיַה	guziˈja
זַרִיז	zaˈriz
מָנוֹעַ	maˈnoa
קלמר	kalˈmar
יוּחֲסִין	juxaˈsin
לְפַלְפֵּל	lefalˈpel
חַלָּשׁ	xaˈlaʃ
שבב	ʃˈvav
לְהִיתַלוֹת	lehitaˈlot
כסף	ˈkesef
מַאתַייִם	maˈtajim
לִצְרוֹךְ	litsˈrox
לִתְפּוֹשׂ	litˈpos
שוטה	ʃoˈte
נְבִיחַה	neviˈxa
צחור	tsˈxor
מְטוּפַּשׁ	metuˈpaʃ
תוֹהוּ	ˈtohu
יַצִיבוּת	jatsiˈvut
נציג	natˈsig
מַצוֹף	matˈsof
שׁוֹקֵת	ˈʃoket
סְחַרְחוֹרֶת	sxarˈxoret
לסמס	lesaˈmes
אמא	ˈima
מריר	maˈrir
כך	ˈkax
סריגה	sriˈga
לְהַכִּישׁ	lehaˈkiʃ
לְחַשְׁבֵּן	lexaʃˈben
פרוור	parˈvar
לנקר	lenaˈker
לְהִתְקַנֵא	lehitkaˈne
עגבניה	agvaniˈja
מעצמה	maʔatsaˈma
לקווד	lekaˈved
משיבון	meʃiˈvon
תנוחה	tnuˈxa
גְדִי	gˈdi
כּוּרְסָה	kurˈsa
פְּסִיעָה	psiˈʔa
לְהַסְפִּיג	lehasˈpig
מְשׁוּכְלַל	meʃuxˈlal
גפרור	gafˈrur
פֵּלֵט	ˈpelet
בַּרְווָז	barˈvaz
לְשַׁעְבֵּד	leʃaʔaˈbed
שורש	ˈʃoreʃ
חיפוש	xiˈpus
לְפִיכַךְ	lefiˈxax
הֲרִיגָה	hariˈga
צַבַא	tsaˈva
אַהוּב	aˈhuv
לחקור	laxˈkor
הִיכַּנְעוּת	hikanˈʔut
לְהִזְדַגֵג	lehizdaˈgeg
גושפנקה	guʃˈpanka
לְהוֹתִיר	lehoˈtir
משעול	miʃˈʔol
נִסְתָּר	nisˈtar
מִייַדִי	mijaˈdi
גנוב	gaˈnuv
מאבק	maʔaˈvak
להיגרר	lehigaˈrer
כְּבִישַׁה	kviˈʃa
הַחְלַמַה	haxlaˈma
להיחלש	lehexaˈleʃ
לכנסת	laˈkneset
לְהִתְבּוֹסֵס	lehitboˈses
לְזַהוֹת	lezaˈhot
לְאַחוֹת	leʔaˈxot
ענף	aˈnaf
לְהִתְמַרְכֵּז	lehitmarˈkez
מדרגה	madreˈga
עיון	iˈjun
לְמַלֵּל	lemaˈlel
לִצְלוֹל	litsˈlol
לְבוֹשֵׁשׁ	levoˈʃeʃ
קֵרַח	ˈkerax
תּוֹבָנָה	tovaˈna
לְקַשֵּׁט	lekaˈʃet
בריא	baˈri
מִשְׁחָה	miʃˈxa
נחושת	neˈxoʃet
הִתְפַּרְצוּת	hitpartˈsut
ירקן	jarˈkan
ידען	jadˈʔan
רִיק	ˈrik
מַמְגּוּרָה	mamguˈra
צדק	tˈsedek
שִׁיפְשׁוּף	ʃifˈʃuf
שְׁעוּעִית	ʃeʔuˈʔit
פִּיצוּי	pitˈsuj
יַזָּם	jaˈzam
להסיט	lehaˈsit
תַּצְפִּית	tatsˈpit
פרדס	parˈdes
לְהִתְאַסֵף	lehitʔaˈsef
דרוש	daˈruʃ
מסקנה	maskaˈna
נו	ˈnu
עגלה	egˈla
כַּעֵת	kaˈʔet
לַחְמוֹל	laxˈmol
חַייָּב	xaˈjav
בַּנוּי	baˈnuj
הֲכִי	haˈxi
כעס	ˈkaʔas
חִיּוּג	xiˈjug
להשיג	lehaˈsig
מכירה	mexiˈra
סַם	ˈsam
סְבִירוּת	sviˈrut
לרגש	leraˈgeʃ
הערכה	haʔaraˈxa
לַעֲרוֹג	laʔaˈrog
לָטוּס	laˈtus
לדור	laˈdur
להתעדן	lehitʔaˈden
למעול	limˈʔol
לָנוּעַ	laˈnua
רָקִיד	raˈkid
תֵירוּץ	teˈruts
הֲפָקָה	hafaˈka
לְהַרְכִּיב	leharˈkiv
לִפְסוֹעַ	lifˈsoa
בַּעֲלִיל	baʔaˈlil
חֲסִימָה	xasiˈma
כלל	kˈlal
התפלה	hatpaˈla
אַלִיפוּת	aliˈfut
לְהִיזַרוֹת	lehizaˈrot
לְהִסְתַּגֵּר	lehistaˈger
צמר	tˈsemer
לְבַשֵׂר	levaˈser
לְייַנֵן	lejaˈnen
אַלְחוּט	alˈxut
לְהִיגָּרֵף	lehigaˈref
תַּכְרִיךְ	taxˈrix
שִׁיוּר	ʃiˈjur
עלה	aˈle
רהט	ˈrahat
זֶהוּת	zeˈhut
חַנְיוֹן	xanˈjon
לְהִתְבַּקֵשׁ	lehitbaˈkeʃ
נחש	naˈxaʃ
לְבַקֵּעַ	levaˈkea
לְשֵׁם	leˈʃam
עֵת	ˈet
בְּרַכַה	braˈxa
רך	ˈrax
שליו	sˈlav
רַקוּב	raˈkuv
לב	ˈlev
צרוד	tsaˈrud
משנה	miʃˈna
מַאַכַל	maʔaˈxal
שֶׁהֵן	ʃeˈhen
לְהַשְׁחִיז	lehaʃˈxiz
להפציע	lehaftˈsia
מְחִיר	meˈxir
לַכֵן	laˈxen
לְהִתְנַגֵד	lehitnaˈged
שתיין	ʃatˈjan
לְחִינַם	lexiˈnam
בּוֹרֵג	ˈboreg
עוגן	ˈogen
ללמד	lilˈmod
לְהִייָּרוֹת	lehijaˈrot
לְגַבֵּל	legaˈbel
מובטח	muvˈtax
לְהֵיאָמֵן	leheʔaˈmen
זָהוֹב	zaˈhov
לתייק	letaˈjek
לְנַתֵּר	lenaˈter
רִיפְרוּף	rifˈruf
לְהַמִישׁ	lehaˈmiʃ
דְּאָז	deˈʔaz
בוטן	ˈboten
לצחקק	letsaxˈkek
מקולקל	mekulˈkal
בְּאֵר	beˈʔer
מִלְחָמָה	milxaˈma
לְהִיזַהֵר	lehizaˈher
עוּגִייַה	ugiˈja
נוֹזְלִי	nozˈli
לנסות	lenaˈsot
נַעֲשָׂה	naʔaˈse
חִיזּוּר	xiˈzur
מוֹעֳמָדוּת	moʔomaˈdut
משופע	meʃuˈpa
תכיפות	txiˈfut
אֵינְסוֹף	einˈsof
כּוֹהַל	ˈkohal
גולגולת	gulˈgolet
לְהִיקַבֵעַ	lehikaˈvea
מַגְלֵשָׁה	magleˈʃa
להרקיד	leharˈkid
כשיר	kaˈʃir
צַחִיחַ	tsaˈxiax
צרפתי	tsarfaˈti
להעביד	lehaʔaˈvid
כַּבֵד	kaˈved
אוֹפְנַה	ofˈna
פִּיסּוּל	piˈsul
לשכר	leʃaˈker
לשריין	leʃarˈjen
לצמוח	litsˈmoax
לְצַטֵּט	letsaˈtet
רוויה	revaˈja
סְבִיבוֹן	sviˈvon
לְהַעַנִישׁ	lehaʔaˈniʃ
אזרחות	ezraˈxut
לתעתע	letaʔaˈtea
קדמי	kidˈmi
להתמזג	lehitmaˈzeg
מְשׁוּפְשַׁף	meʃufˈʃaf
השערה	haʃʔaˈra
מַהְפֵּכַה	mahpeˈxa
קַרְקֵפֵת	karˈkefet
לְשַׁבֵּץ	leʃaˈbets
ילד	ˈjeled
גֵרֵב	ˈgerev
לסווג	lesaˈveg
לְקַשֵּׁת	lekaˈʃet
להקציב	lehaktˈsiv
בְּווַדַאי	bevaˈdaj
באוש	baˈʔuʃ
הַרְצַאַה	hartsaˈʔa
פִּתְגַם	pitˈgam
חֲבִילָה	xaviˈla
תׇּכְנִיּוֹת	toxniˈjot
לפכור	lifˈkor
שֶׁלָּכֶם	ʃelaˈxem
קטיפה	ktiˈfa
הִיגָּיוֹן	higaˈjon
להשליך	lehaʃˈlix
קְהִילָתִי	kehilaˈti
זחל	ˈzaxal
הַרֵי	haˈrei
בַּמַּאי	baˈmaj
שְׁנִיַיה	ʃniˈja
עוֹלָמִי	olaˈmi
טוּסִיק	ˈtusik
לֶאֱזוֹק	leʔeˈzok
הִסְתַּייְּגוּת	histajˈgut
לִכְבּוֹשׁ	lixˈboʃ
מַצַב	matˈsav
שׁוּמָּן	ʃuˈman
מטרד	mitˈrad
פַּקֶּקֶת	paˈkeket
לְהִתְקַבֵּעַ	lehitkaˈbea
להרות	lahaˈrot
מִזְחֶלֶת	mizˈxelet
להיקנס	lehikaˈnes
שְׁבוּעָה	ʃvuˈʔa
אֵתְמוֹל	etˈmol
צלבן	tsalˈvan
כְּרוּבִית	kruˈvit
להטיף	lehaˈtif
לְהַנְדֵס	lehanˈdes
תְשִׁיעִי	tʃiˈʔi
כַּעַבוֹר	kaʔaˈvor
חַמְסָן	xamˈsan
לגמר	legaˈmer
לאור	laˈʔor
לנפץ	lenaˈpets
צימצום	tsimtˈsum
תְכוּנַה	txuˈna
פֹּה	ˈpo
לַעַמוֹס	laʔaˈmos
כושר	ˈkoʃer
לייחס	lejaˈxes
לזמום	lizˈmom
לְהִשְׁתַּכְשֵׁךְ	lehiʃtaxˈʃex
עוף	ˈof
לְהַכְרִית	lehaxˈrit
לְהַשְׁלִים	lehaʃˈlim
קַר	ˈkar
דָּרְבָּן	darˈban
מְשׁוּקְלָל	meʃukˈlal
שָׂמֵחַ	saˈmeax
לְהַתְקִיל	lehatˈkil
לְהִתְעַנֵג	lehitʔaˈneg
צַלֵקֵת	tsaˈleket
וָו	ˈvav
לְנַתֵּחַ	lenaˈteax
לְהֵיחַבֵט	lehexaˈvet
מַלְכוּתִי	malxuˈti
עכשיו	axˈʃav
הִתְחַסְנוּת	hitxasˈnut
לְהִשְׁתַּלְהֵב	lehiʃtalˈhev
צַלְייָן	tsalˈjan
