דִּ מְ י וֹן	di mˈ j on
לְ נַ ווּ ֵ ן	le na ˈv e n
ל ה יד ו ם	le hi ˈd o m
מֵ יצ ָ ג	me tˈs a g
לְ הַנִּיחַ	le haˈniax
שָׁ ל וּ ף	ʃaˈ l u f
ש ת י ל ה	ʃ t iˈ l a
ק ל	ˈka l
רִי קָּ ב וֹן	ri kaˈ v on
מַ שְׁ דֵ ר	ma ʃˈ de r
נַ ע ֲ ב ֹ ר	na ʔ aˈ v o r
קִי שּׁ וּ ר	kiˈ ʃ u r
צ ל ב ן	ts alˈ v an
בִּי קּ וֹר ֶ ת	biˈ k or e t
ל ה י מל ט	le h i maˈle t
לְ צַ נְ זֵ ר	le tsa nˈ ze r
לע נ י י ן	laʔ inˈ j a n
כָּ שֵׁ ר	kaˈ ʃe r
דו וש ה	dav ˈʃ a
מִי לּ וּ אִי ם	mi l uˈ ʔi m
ל התי יח ס	le hitj aˈxe s
לְ הִ ת ְחַ סֵּ ל	le hi t xaˈ se l
ל פ ס ט ר	le f asˈ te r
נַ עִי ם	naˈ ʔi m
לע צ ב ן	leʔ ats ˈbe n
ל ה ח נ יק	le h axˈ n ik
ר י ב ה	r iˈ b a
שַׁ לִי חַ	ʃaˈ li ax
ש כי ח	ʃ aˈxi ax
לֵא ֵה וֹד	leʔ eˈh od
גָּ ד וּ שׁ	gaˈ d u ʃ
ע דו ת	eˈ du t
תַ אַ נִי יַה	ta ʔa niˈj a
יֶ דַע	ˈje da
לִנְ צוֹ ץ	lin tˈso ts
לְ הִ ת ְחַ תּ ֵ ךְ	le hi t xaˈ t e x
לִ פְ ל וֹ ט	li fˈ l o t
לְ הִ ידַ חֵ ק	le hi daˈ xe k
ית ר ו ן	jitˈ r o n
ל ה ר שי ם	le h arˈ ʃi m
לְ הַ זְ רִי ם	le ha zˈ ri m
לִנְ ה וֹ ם	linˈ h o m
שְׁ אֵ ל וֹן	ʃe ʔeˈ l on
מִ בְ רֵ שֵׁ ת	mi vˈ re ʃe t
מַ לְ בֵּ ן	ma lˈ be n
כַּ תַ בַה	ka taˈ va
דַ ג	ˈda g
לְ י יַ לֵ ד	le j aˈ le d
מְ שׁ וּתַ ף	me ʃ uˈta f
ל ס כ ס ך	le sa xˈ se x
חֲ ת וּ לָ ה	xa t uˈ l a
ר וֹ בֶ ד	ˈr o ve d
בְּ נִי גּ וּ ד	be niˈ g u d
ל ה דה ו ת	le h adˈh o t
לִ שְׁ כּ וֹ ל	li ʃˈ k o l
מִ כַּא ן	m iˈk an
ל ר ת ך	le raˈ te x
כ ר י ש	kaˈ r i ʃ
לַ חֲ ז וֹר	la xaˈ z or
א ת ם	aˈ te m
ס דר	sˈ dar
מַ חְ בֵּ רֵ ת	ma xˈ be re t
קְ רִי צָ ה	k ri tˈs a
ת ש ו ב ה	t ʃ uˈ v a
טִ בְ עִי	ti vˈ ʔi
ב מ ב ו ק	b amˈ b u k
שַׂ דֵ ה	saˈ d e
ל פ ע ו ל	l ifˈ ʔ o l
ג ש ם	ˈge ʃe m
אִ שְׁ פּ וּ ז	i ʃˈ p u z
לַה ֲ ר וֹ ס	lah aˈ r o s
מ ז ר חי	mi z raˈ xi
הַ א ֲ חָ דָ ה	ha ʔ a xaˈ d a
תַ חְ מ וֹצ ֵ ת	ta xˈ m ots e t
נַ ווּ ָ ד	na ˈv a d
ת פ ו ק ה	t f uˈ k a
לְ הִ י תַּ מֵּ ר	le h i taˈ me r
מ ב י א	me ˈ v i
ס ט ט יס ט יק ה	s ta ˈt is t ik a
לְ נַ פְ נֵ ף	le na fˈ ne f
ל ק ל ח	le kaˈ le ax
לְ הַ זְ הִ י ר	le ha zˈ h i r
לִ סְ ט וֹת	li sˈ t ot
ל ה י פר ט	le h i paˈre t
דּ ֶב ֶ ק	ˈd ev e k
אֵ תְ ר וֹ ג	e tˈ r o g
שִׁי ע וּ ל	ʃiˈ ʔ u l
ד חי ינ ות	da xj aˈn ut
ר ך	ˈra x
ח וֹ חַ	ˈ xo ax
לְ הַ עִי ב	le haˈ ʔi v
הֶ סְ בֵּ ר	he sˈ be r
ל ה ב ל יט	le h avˈ l it
ש ח מ ט	ʃ axˈ ma t
פּ וֹ לְ שַׁ נִי	p o l ʃaˈ ni
יְ ר וּ שָּׁ ה	je r uˈ ʃ a
ל ח ו ל ל	le x oˈ le l
סי י ע ן	sa jˈ ʔ an
לִ בְ ל וֹ ט	li vˈ l o t
כּ ְבִי סַה	k viˈ sa
לְ חַ מֵּ שׁ	le xaˈ me ʃ
רא ש	ˈro ʃ
מ ש ב ר	ma ʃ ˈbe r
ל התי י ע ץ	le hitj aˈ ʔ ets
ה וֹד ַ עַה	h od aˈ ʔa
חָ ל וּ ל	xaˈ l u l
לְ הֵי עָ צ ֵ ר	le he ʔa tˈs e r
ל ג ר ש	le g aˈre ʃ
הִ ת ְקַ הַ ל וּ ת	hi t k ah aˈ lu t
ל נה ו ק	l inˈh o k
ג דע ו ן	g idˈʔ o n
טַע ֲ נָ ה	taʔ aˈ n a
לְ הִ יסַ חֵ ר	le h isaˈ xe r
ל ה י ע ל ם	le h e ʔ aˈle m
לֵא ֵ כ וֹ ל	leʔ eˈ x o l
גּ וֹפְ רִי ת	g ofˈ ri t
ק ב י ע ה	k v iˈ ʔ a
לְ קַ פֵּ ץ	le kaˈ pe ts
ל ה יט	la ˈh it
א ל י ל	eˈ l i l
לְ הִ י פּ וֹ ץ	le hi ˈ p o ts
א ח וז	aˈ x uz
מַה וּ תִי	mah uˈ ti
זֹ א ת	ˈz o t
גֵ זֵ ר	ˈge ze r
ל צע ו ק	l itsˈʔ o k
לִנְ ז וֹ ל	linˈ z o l
לִ צְ מ וֹ חַ	li tsˈ m o ax
הִ ת ְחַ ז וּת	hi t xaˈ z ut
ל ה ש ת כל ל	le hi ʃ ta xˈle l
לְ הִ י מָּ צֵא	le h i m atˈse
רִי פּ וּ י	riˈ p u j
לְ הַ אַ פִ י ר	le ha ʔaˈ f i r
לְ הִ צְ טַ מְ צ ֵ ם	le hi ts ta m tˈs e m
הֵ סְ כֵּ ם	he sˈ ke m
ע וּצְ בַּה	u ts ˈba
קְ רִי זַה	kˈ ri za
לְ תַ קְ שֵׁ ר	le ta kˈ ʃe r
לְ הִ ינַ קֵ ט	le hi naˈ ke t
לִנְ ק וֹ ט	linˈ k o t
אַ קְ לִי ם	a kˈ li m
ס וֹ הֵ ר	s oˈ he r
מַע ֲ רָ כ וֹן	maʔ a raˈ x on
דַ ל וּ חַ	daˈ l u ax
נוֹדּ	ˈnod
ל ה צי ל	le h atˈsi l
לְ הַ זְ קִי ק	le ha zˈ ki k
בִּי ט וּ חַ	biˈ t u ax
ל ה י פ ל ט	le h i pa ˈle t
ל ג ו נ ן	le g o ˈne n
רַע ַ שַׁ ן	raʔ aˈ ʃa n
זַ ו וִ ית	za ˈ v it
הֶ בֶ ל	ˈhe ve l
דּ וֹ לְ פִ י ן	d o lˈ f i n
עִי קַ ר	iˈ ka r
לְ פַ נְ טֵ ז	le fa nˈ te z
מַע ֲ טָ פָ ה	maʔ a taˈ f a
לַ צ וּ ף	la tˈs u f
לִ שְׁ ר וֹ ץ	li ʃˈ r o ts
לְ נַ חֵ ם	le naˈ xe m
מ ש ח ה	m isˈ x e
מ ס ור ת י	ma s orˈ t i
לְ הִ י שָּׁ כֵ ב	le h i ʃaˈ xe v
ר כ ב	ˈre xe v
לָ צ וּ ר	la tˈs u r
בָּ ט וּ חַ	baˈ t u ax
מִ שְׁ לַ חַ ת	mi ʃˈ la xa t
לע ט ר	leʔ aˈte r
מְ צ וּ לַע	me ts uˈ la
ל ה י ע נ ו ת	le h e ʔ aˈn o t
רִי שַׁי וֹן	ri ʃaˈj on
מַע ֲ קָ ב	maʔ aˈ ka v
ל ח ר וד	la xa ˈr od
ל ה י פ ג ם	le h i pa ˈge m
ל ה צ פי ן	le h atsˈ pi n
בָּ ח וּ ר	baˈ x u r
מַ שְׁ אֵ ף	ma ʃˈ ʔe f
לִ מְ ז וֹ ג	li mˈ z o g
קִ רְ קַ ס	ki rˈ ka s
פּ ְרַ קְ לִי ט וּת	p ra k liˈ t ut
מ וּ רְ כַּ ב	m u rˈ ka v
רִי נַה	riˈ na
דִי ן	ˈdi n
לְ הִ סְ תַּ פֵּ ק	le hi s taˈ pe k
לַה ֲ קָ ה	lah aˈ k a
בר צי נ ות	bi rtsiˈ n ut
מְ בִי נִי ם	me viˈ ni m
מ כ ש ל ה	ma x ʃe ˈl a
צַ בַּע	tsaˈ ba
כּ ְ אִי ל וּ	k eˈ ʔi l u
לְ חַ דֵ שׁ	le xaˈ de ʃ
צַ לְ בָ ן	tsa lˈ va n
א וּ מַ ן	u ˈ ma n
לְ פַ צ ֵ ל	le fa tˈs e l
חַ רְ דָּ ל	xa rˈ da l
ק ר	ˈka r
פֵּ סִי מִי	peˈ si mi
לֶ א ֱ כ וֹ ף	le ʔ eˈ x o f
חי ב ו ק	xiˈ b u k
ב יק וש	b iˈk uʃ
לִ זְ ק וֹ ף	li zˈ k o f
פֶּ רַ ח	ˈpe ra x
רֵ שַׁע	ˈre ʃa
לְ שַׁ בֵּ ץ	le ʃaˈ be ts
אֶ מֶ שׁ	ˈe me ʃ
ע ד כ נ י	a d kaˈ n i
מַ בְ רֵ ג	ma vˈ re g
לְ הִ ת ְבַּ קֵ עַ	le hi t baˈ ke a
לְ הִ תְי יַ קֵ ר	le h itj aˈ ke r
ל ה יח פ ר	le h exaˈ fe r
בד ל נ ות	bad l aˈn ut
לַעַ ל וֹ ס	laʔaˈ l o s
מֶ ל וֹן	meˈ l on
תּ ְ הִ י לָּ ה	t e hi ˈ l a
לִ זְ עוֹ ם	li zˈ ʔo m
רצ ח	ˈrets ax
א וּ לַ י	u ˈ la j
ל הת נ כל	le hit na ˈkel
צַ לָּ ף	tsaˈ la f
מַ רְ בַ ד	ma rˈ va d
אַ מֵ ן	aˈ me n
לְ הַ דְ חִ יק	le ha dˈ x ik
לְ הֵי עָ רֵ ם	le he ʔaˈ re m
מי ר ו ץ	meˈ r o ts
לְ הִ ת ְכַּ ה וֹת	le hi t kaˈ h ot
ל הת ר ח ש	le hit r aˈxe ʃ
מצ ו נ ף	mets uˈ na f
תְ צ וּ גַה	te ts uˈ ga
ת נ ור	t aˈn ur
נִ סְ פָּ ח	ni sˈ pa x
ג ז ר	ˈge ze r
מְ מ וּ חְ שַׁ ב	me m u xˈ ʃa v
שֵׁ ד	ˈʃe d
ז מי נ ות	z miˈ n ut
לְ מַ נ וֹת	le maˈ n ot
פַּ לְ גַ נ וּת	pa l gaˈ n ut
כִּי פַּה	kiˈ pa
בִּ מְ הִ י ר וּת	bi m hi ˈ r ut
לְ חַ י יֵ ךְ	le xaˈ j e x
לְ הִ צְ טַ לֵ ב	le hi ts taˈ le v
לָ הִ יט	laˈ h it
לְ הִ תְפַּ לֵּ א	le h itp aˈl e
סר ק	sˈra k
ט ל ית	ta ˈl it
צ ר י כ ה	ts r iˈ x a
שְׂ כ ַ לְ תָּ ן	s x a lˈ ta n
אַ ל וֹן	aˈ l on
ל ס וו ג	le sa ˈve g
לְ הֵי אַ נֵ ס	le he ʔaˈ ne s
כּ ְלַ בְ לַ ב	k la vˈ la v
ל ר ע וד	l irˈ ʔ od
מְ כ ַ שֵׁ ף	me x aˈ ʃe f
לֶ א ֱ כ וֹ ל	le ʔ eˈ x o l
שָׂ בֵ עַ	saˈ ve a
תַּ נִּ י ן	taˈ n i n
לְ קַ לֵ חַ	le kaˈ le ax
לְ סַ י יֵּ ד	le sa ˈ je d
ל ה ר גי ל	le h arˈ gi l
בְּ עֵ רֵ ךְ	beˈ ʔe re x
מ שכ ב	mi ʃˈka v
ל פ ז ר	le faˈ ze r
לְ הִ סְ תַּ כֵּ ם	le hi s taˈ ke m
קַ טְ נ וּ נִי	ka t n uˈ ni
לְ הַ כְ בִּי ד	le ha xˈ bi d
ל ה י מלא	le h i maˈle
תּ ְשׁ וּ עָ ה	t ʃ uˈ ʔ a
כֵּ ן	ˈke n
רַ חְ פָ ן	ra xˈ fa n
יַ רֵ חַ	jaˈ re ax
ל צ מו ת	l itsˈ mo t
תּ וֹר ָ ן	t oˈr a n
לִ מְ ת וֹ חַ	li mˈ t o ax
ל הת ק י ל	le hatˈ k i l
מַ שְׁ גִּ י חַ	ma ʃˈ g i ax
סר יק ה	sr iˈk a
מ ג ף	ma ˈga f
לְ צַ לְ צ ֵ ל	le tsa l tˈs e l
כ ב יס ה	k v iˈs a
לְ שַׁ חְ זֵ ר	le ʃa xˈ ze r
ע מי ד	aˈ mi d
ל י יש ם	le j aˈse m
זִ י עַ	ˈz i a
ס וֹד	ˈs od
ע די י ן	aˈ daj i n
מְ דִי דָ ה	me diˈ d a
מ וּ שְׁ לַ ג	m u ʃˈ la g
ל ס מ ס	le sa ˈme s
ש ו ח ר	ʃ o ˈxe r
ל הת ק ש ח	le hit kaˈ ʃe ax
ל ה ש נ יק	le h aʃˈ n ik
קַ רְ י יֵ רַה	ka rˈ j e ra
בִּ לְ תִּ י	bi lˈ t i
עַ פִ יצ וּת	a fi tˈs ut
ק ו	ˈka v
אַ בִי זַ ר	a viˈ za r
נ ב וא ה	n e vuˈʔ a
נ וֹ שֵׂ א	n oˈ s e
לְ הִ שְׁתַּ תּ ֵ ק	le hi ʃtaˈ t e k
רַ ז	ˈra z
ל ג ב ור	l igˈ b or
תִ זְ מ וֹר ֵ ת	ti zˈ m or e t
לְ הִ ת ְחַ רֵ ט	le hi t xaˈ re t
דע י כ ה	deʔ iˈ x a
סִי פ וֹן	siˈ f on
שַׁ פִּי רִי ת	ʃa piˈ ri t
לִ שְׁ פּ וֹ ל	li ʃˈ p o l
סִ פְ רָ ה	si fˈ r a
מִ נְ הַ ל	mi nˈ ha l
מ ס ור ת	ma ˈs ore t
קַ בְּ צָ ן	ka b tˈsa n
מַ חַ ר	maˈ xa r
מַ לֵא	maˈ le
דּ וֹ אַ ר	ˈd o ʔa r
הַ נְ דָּ סָ ה	ha n daˈ s a
פּ ְתִ י חַה	p t iˈ xa
דִּ י לֶ מָ ה	di ˈ le m a
ל הת ק ה ו ת	le hit kaˈ h o t
סִי ּוֹ מֶ ת	siˈj o me t
לְ הֵי חַ תֵ ךְ	le he xaˈ te x
לִ שְׁ ר וֹת	li ʃˈ r ot
ע יק ש	iˈ ke ʃ
לְ הִ יכַּ לֵ ם	le h ikaˈ le m
בִּי טַא וֹן	bi taˈʔ on
סַ ב וּ ךְ	saˈ v u x
לְ רַ שְׁ רֵ שׁ	le ra ʃˈ re ʃ
ת ְדִי ר וּת	t diˈ r ut
ר גי ל	raˈ gi l
ל הת כ נ ס	le hit k aˈne s
ד פ ד פ ת	da fˈ de fe t
לְ הִ יצַ בֵ ט	le h itsaˈ ve t
מִ בְ טָ א	mi vˈ t a
שַׁ לָּ ט	ʃaˈ la t
ע י ר ע ור	i r ˈ ʔ ur
ש א ינ ם	ʃe ʔ eˈna n
אָ ח וֹ רָ ה	aˈ x o r a
הִ תְ עַ טְ שׁ וּת	hi tʔ a tˈ ʃ ut
זה י ר ות	zehi ˈ r ut
ק וֹ ף	ˈ ko f
יַ חַ סִי	ja xaˈ si
ל ה ס ל י ם	le h asˈ l i m
מְ כִ י נַה	me x iˈ na
חַ סְ כָ נ וּת	xa s xaˈ n ut
אַ לְ ח וּ ט	a lˈ x u t
לְ הִ ת ְבַּ שֵׂ ם	le hi t baˈ se m
ת חי ל ית	t xiˈ l it
ע ק י פ ה	a k iˈ f a
טֶ לֶ פ וֹן	ˈte le f on
צַ מּ ֶ רֶ ת	tsaˈ m e re t
ד ל ו ק	daˈ l u k
קָ הָ ל	kaˈ ha l
תַ קֵ ף	taˈ ke f
שְׁ קִי לַה	ʃ kiˈ la
לְ הִ ת ְקַ דֵּ ם	le hi t kaˈ de m
ה יד ד	h eˈda d
אֵ זְ רַ ח וּת	e z raˈ x ut
יַ פֵה	jaˈ fe
לְ ה וֹ שִׁ י עַ	le h oˈ ʃ i a
קְ פִ י ץ	kˈ f i ts
הִ תְ נַ קּ ְשׁ וּת	h it na k ˈʃ ut
רָ ב וּעַ	raˈ v ua
חַ קִי רַה	xa kiˈ ra
לְ א וֹ שֵׁ שׁ	le ʔ oˈ ʃe ʃ
נֵ חְ מַ ד	ne xˈ ma d
פי ז ור	piˈ z ur
מִ שְׁ לַ חַ ת	mi ʃˈ la xa t
חוֹד ֶ שׁ	ˈxod e ʃ
פ ל ג נ ות	pa l g aˈn ut
צ נ ח ן	ts anˈ xa n
ג וש	ˈg uʃ
לְ גָ רֵ ז	le gaˈ re z
נ פ לא	n ifˈ la
דִּ בֵּ ר	di ˈbe r
ז ו ל ת	z uˈ la t
אַ רַ עִי	a raˈ ʔi
לִ סְ ר וֹ ט	li sˈ r o t
קִי נַ מ וֹן	ki naˈ m on
סְ חִ י טַה	s xi ˈ ta
ל ס פ ו ח	l isˈ p o ax
לְ הִ זְ דַּ גֵּ ג	le hi z daˈ ge g
מַ חֲ לָ ה	ma xaˈ l a
לְ הִ סְ תַ לֵ ק	le hi s taˈ le k
אַ דַ מְ דַ ם	a da mˈ da m
ע מי דו ת	a miˈ du t
ל הת ע ל ם	le hitʔ aˈ le m
לְ י יַ שֵּׂ ם	le j aˈ se m
ל ט ר פ ד	le ta r ˈpe d
כַּ ד וּ רֵגֵ ל	ka d uˈ rege l
מַ חְ לָ קָ ה	ma x laˈ k a
מַ שִׁי חַ	maˈ ʃi ax
מִ שְׁ אַ לַה	mi ʃ ʔaˈ la
חָ ת וּ ךְ	xaˈ t u x
ל פר ו ע	l ifˈr o a
ע פי צו ת	a fi tˈsu t
שִׂ רְ ט וּ ט	s irˈ t u t
לְ פַ שּׁ ֵ ט	le faˈ ʃ e t
מַ שּׁ ֶ ה וּ	ˈma ʃ e h u
תַ כְ רִי ךְ	ta xˈ ri x
לִ שְׁ ת וֹ ל	li ʃˈ t o l
לִ מְ עוֹ ל	li mˈ ʔo l
לְ גַ י יֵ ס	le gaˈ j e s
לְ בַ ד	leˈ va d
ג דו ל ה	g duˈ l a
נ פ ס ד	n ifˈ sa d
ל הת כ ח ש	le hit k aˈxe ʃ
מַע ַ צַ ר	maʔ a tˈsa r
ג מו ר	g aˈmu r
הִ תְפַּ י יְּ ס וּת	h itp a jˈ s ut
לַ כְ סִי ן	la xˈ si n
ב חי ל ה	b xiˈ l a
לְ הַחְ שִׁי ךְ	le haxˈ ʃi x
ו ְ הֵ ן	v ˈ he n
מִ כְ תָּ ם	mi xˈ ta m
זַ ק וּ ף	zaˈ k u f
גִ יד	ˈg id
נִי שּׂ וּ אִי ן	ni s uˈ ʔi n
לְ אַ גֵּ ד	le ʔaˈ ge d
צ ֵ לַע	tˈs e la
סְ צ ֵ נַה	s tˈs e na
מִ לָּ ה	miˈ l a
לְ הַצְ נִי חַ	le hatsˈ ni ax
בַּ רִי א	ba ˈr i
ל הת וו דו ת	le hit vaˈ do t
ע כ ב ר	a x ˈba r
לְ הַ חַ ו וִ י ר	le ha xa ˈ v i r
מ ש ק ה	ma ʃˈ k e
ל ה י כ ת ב	le h i kaˈ te v
ל בר וא	l ivˈr o
ל ב ז ו ק	l ivˈ z o k
אֵ רֵ ז	ˈe re z
מ ר ע ה	mi rˈ ʔ e
לְ תַ לְ תּ ֵ ל	le ta lˈ t e l
לַע ֲ ר וֹ ג	laʔ aˈ r o g
קַ נַא י	ka ˈna j
ל ר ח ק	le r aˈxe k
כֵּ שֵׁ ל	ˈke ʃe l
מִ שְׁ בֵּ צ ֵ ת	mi ʃˈ be ts e t
ח ד ש ן	xa d ˈʃa n
צְ עִי דָ ה	tse ʔiˈ d a
הַ דְ פַּ סַה	ha d paˈ sa
מ סי כ ה	ma seˈ x a
לְ הַ תְ ר וֹת	le ha tˈ r ot
חַ זִ ית	xaˈ z it
לַ ס וֹ ב	laˈ s o v
חי ז ור	xiˈ z ur
חִ י לָּ ז וֹן	x i laˈ z on
מִ בְ טָ ח	mi vˈ ta x
אֵ מֵ ת	eˈ me t
לְ תַי יֵ ג	le taˈj e g
שְׁ לִי שִׁ יַה	ʃ li ʃi ˈja
ק ופ א י	k uˈp a j
בַּ שָּׁ נִי ם	ba ʃaˈ ni m
לִ שְׁ א וֹ ל	li ʃˈ ʔ o l
ל י יח ס	le j aˈxe s
פֶּ רֶ ם	ˈpe re m
פי ק ח	piˈ k eax
ט ב ח	ˈte v ax
